AppID;Steam;Non-Steam
570;15510;986705
578080;824691;153468
440;10463;537862
730;2185810;838253
304930;7818;315629
230410;3146;241709
550;152369;106941
444090;10162;190710
227940;2800;96961
340;4802;1974
218620;213462;151290
236390;1719;103509
320;4080;2701
4000;305081;73494
301520;2817;108479
240;44645;35236
10;64812;62682
620;102566;37029
80;8783;4701
291550;2859;83922
400;39702;12991
433850;147661;55147
271590;399564;66493
72850;155071;97012
238960;1164;76079
291480;1044;45905
220;50165;19980
105600;196436;65187
439700;1734;421
8930;83537;50829
304050;1192;60215
218230;705;42934
386360;1272;41854
360;1446;376
40;915;614
224260;849;52988
333930;1459;53104
252950;186567;76375
49520;93193;52848
359550;240865;67055
582010;59720;46106
273110;707;33515
550650;14;44241
322330;67296;44783
30;1961;1840
60;2089;1332
252490;202191;70166
380;6138;2235
381210;133217;49183
300;6989;4686
15700;1369;1803
863550;3995;8258
70;22057;6655
420;10669;3876
50;4305;1191
130;3302;904
346110;166026;44603
363970;881;46334
208090;1288;39656
20;2769;1163
431960;60011;4301
227300;129645;51913
273350;9230;35610
407530;1850;6212
500;13385;5418
319630;86016;36820
203160;75623;21600
278360;9725;9493
219640;42661;19733
109600;338;23398
221380;45322;11721
113400;438;31320
253710;641;26162
555570;2514;25307
292030;184322;21203
377160;89486;65947
10180;14348;18351
255710;53812;19183
20920;34797;6069
57300;11133;10217
420970;8;85
219740;49355;14125
339610;158;7777
1250;31470;24867
7670;15569;5284
630;350;17995
238320;29923;17836
280790;2026;21914
12210;43115;10873
22380;51270;18411
323370;205;13849
304390;35438;24671
8870;58464;24638
588430;0;24933
222880;71669;30019
209080;8213;5992
48000;14589;17700
506540;68;19576
55230;30125;16502
242760;99766;18956
